genre,length,rating,score,title,vote,year
"Animation,Adventure,Fantasy",134 min,PG-13,8.4,Princess Mononoke,"264,373",1997
"Drama,Western",165 min,R,8.4,Django Unchained,"1,110,182",2012
"Animation,Drama,War",89 min,NOT RATED,8.5,Grave of the Fireflies,"170,144",1988
"Drama,Horror",146 min,R,8.4,The Shining,"706,704",1980
"Drama,Thriller",137 min,R,8.5,The Lives of Others,"296,579",2006
"Drama,War",88 min,NOT RATED,8.4,Paths of Glory,"140,529",1957
"Comedy,War",95 min,PG,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"386,046",1964
"Animation,Adventure,Family",98 min,G,8.4,WALL·E,"829,647",2008
"Drama,Film-Noir",110 min,NOT RATED,8.5,Sunset Boulevard,"161,735",1950
"Animation,Adventure,Comedy",105 min,PG,8.5,Coco,"128,821",2017
Drama,155 min,R,8.5,Cinema Paradiso,"179,987",1988
"Comedy,Drama,War",125 min,G,8.5,The Great Dictator,"162,596",1940
"Horror,Sci-Fi",116 min,R,8.5,Alien,"656,697",1979
"Drama,Mystery,Sci-Fi",130 min,PG-13,8.5,The Prestige,"978,831",2006
"Mystery,Thriller",113 min,R,8.5,Memento,"959,502",2000
"Animation,Adventure,Drama",88 min,G,8.5,The Lion King,"752,842",1994
"Drama,War",147 min,R,8.5,Apocalypse Now,"506,746",1979
"Drama,Music",107 min,R,8.5,Whiplash,"536,400",2014
"Action,Adventure,Drama",155 min,R,8.5,Gladiator,"1,116,010",2000
"Action,Adventure",115 min,PG,8.5,Raiders of the Lost Ark,"747,003",1981
"Crime,Drama,Thriller",151 min,R,8.5,The Departed,"992,836",2006
"Biography,Drama,Music",150 min,R,8.5,The Pianist,"581,147",2002
"Action,Sci-Fi",137 min,R,8.5,Terminator 2,"839,073",1991
"Adventure,Comedy,Sci-Fi",116 min,PG,8.5,Back to the Future,"848,131",1985
"Mystery,Thriller",112 min,PG,8.5,Rear Window,"363,148",1954
"Comedy,Drama,Family",87 min,G,8.5,Modern Times,"170,042",1936
"Biography,Comedy,Drama",112 min,R,8.6,The Intouchables,"606,705",2011
"Drama,Romance,War",102 min,PG,8.5,Casablanca,"438,705",1942
"Comedy,Drama,Romance",87 min,G,8.6,City Lights,"129,817",1931
Western,164 min,PG-13,8.5,Once Upon a Time in the West,"248,541",1968
"Horror,Mystery,Thriller",109 min,R,8.5,Psycho,"486,899",1960
"Crime,Drama",119 min,R,8.5,American History X,"884,630",1998
"Adventure,Drama,Sci-Fi",169 min,PG-13,8.6,Interstellar,"1,151,865",2014
"Drama,War",169 min,R,8.6,Saving Private Ryan,"1,014,202",1998
"Crime,Drama,Fantasy",189 min,R,8.5,The Green Mile,"915,284",1999
"Animation,Adventure,Family",125 min,PG,8.6,Spirited Away,"498,561",2001
"Crime,Drama,Thriller",110 min,R,8.6,Léon: The Professional,"839,198",1994
"Crime,Mystery,Thriller",106 min,R,8.6,The Usual Suspects,"840,033",1995
"Crime,Drama,Thriller",118 min,R,8.6,The Silence of the Lambs,"1,027,773",1991
"Crime,Drama,Mystery",127 min,R,8.6,Se7en,"1,174,172",1995
"Crime,Drama",130 min,R,8.6,City of God,"598,427",2002
"Adventure,Drama",207 min,NOT RATED,8.7,Seven Samurai,"259,751",1954
"Drama,Family,Fantasy",130 min,PG,8.6,It's a Wonderful Life,"322,879",1946
"Action,Adventure,Fantasy",121 min,PG,8.6,Star Wars: Episode IV - A New Hope,"1,040,261",1977
"Comedy,Drama,War",116 min,PG-13,8.6,Life Is Beautiful,"497,621",1997
"Action,Sci-Fi",136 min,R,8.7,The Matrix,"1,383,410",1999
"Crime,Drama",175 min,R,9.2,The Godfather,"1,316,813",1972
